approach,system,steps,min_total_core,max_total_core,resources,classes,sla
BNV1-0.5,system_50,38,62.6,62.6,10,12,300.0
BNV2-2.0,system_50,12,59.3,62.0,10,12,300.0
BNV2-4.0,system_50,10,66.1,78.0,10,12,300.0
BNV2-1.0,system_50,26,60.1,64.0,10,12,300.0
AMPL,system_50,0,55.93,0,10,12,300.0
BNV1-4.0,system_51,4,118.0,118.0,10,12,300.0
BNV1-2.0,system_51,5,72.0,72.0,10,12,300.0
BNV1-1.0,system_51,13,62.0,62.0,10,12,300.0
BNV1-0.5,system_51,38,62.6,62.6,10,12,300.0
BNV2-2.0,system_51,12,59.3,62.0,10,12,300.0
BNV2-4.0,system_51,10,66.1,78.0,10,12,300.0
BNV2-1.0,system_51,26,60.1,64.0,10,12,300.0
AMPL,system_51,0,55.93,0,10,12,300.0
BNV1-4.0,system_52,4,98.0,98.0,10,12,300.0
BNV1-2.0,system_52,10,78.0,78.0,10,12,300.0
BNV1-1.0,system_52,20,71.0,71.0,10,12,300.0
BNV1-0.5,system_52,42,70.4,70.4,10,12,300.0
BNV2-2.0,system_52,15,68.6,76.0,10,12,300.0
BNV2-4.0,system_52,10,77.0,90.0,10,12,300.0
BNV2-1.0,system_52,23,68.1,70.0,10,12,300.0
AMPL,system_52,0,62.84,0,10,12,300.0
BNV1-4.0,system_53,3,86.0,86.0,10,12,300.0
BNV1-2.0,system_53,5,56.0,56.0,10,12,300.0
BNV1-1.0,system_53,11,45.0,45.0,10,12,300.0
BNV1-0.5,system_53,23,42.0,42.1,10,12,300.0
BNV2-2.0,system_53,12,42.7,46.0,10,12,300.0
BNV2-4.0,system_53,5,60.0,66.0,10,12,300.0
BNV2-1.0,system_53,18,39.9,42.0,10,12,300.0
AMPL,system_53,0,37.71,0,10,12,300.0
BNV1-4.0,system_54,3,86.0,86.0,10,12,300.0
BNV1-2.0,system_54,5,56.0,56.0,10,12,300.0
BNV1-1.0,system_54,11,45.0,45.0,10,12,300.0
BNV1-0.5,system_54,23,42.0,42.1,10,12,300.0
BNV2-2.0,system_54,12,42.7,46.0,10,12,300.0
BNV2-4.0,system_54,5,60.0,66.0,10,12,300.0
BNV2-1.0,system_54,18,39.9,42.0,10,12,300.0
AMPL,system_54,0,37.71,0,10,12,300.0
BNV1-4.0,system_55,5,122.0,122.0,10,12,300.0
BNV1-2.0,system_55,5,70.0,70.0,10,12,300.0
BNV1-1.0,system_55,10,59.0,59.0,10,12,300.0
BNV1-0.5,system_55,19,55.6,55.5,10,12,300.0
BNV2-2.0,system_55,9,56.0,60.0,10,12,300.0
BNV2-4.0,system_55,10,66.6,86.0,10,12,300.0
BNV2-1.0,system_55,22,55.2,58.0,10,12,300.0
AMPL,system_55,0,50.99,0,10,12,300.0
BNV1-4.0,system_56,15,154.0,154.0,10,12,300.0
BNV1-2.0,system_56,26,128.0,128.0,10,12,300.0
BNV1-1.0,system_56,53,128.0,128.0,10,12,300.0
BNV1-0.5,system_56,110,127.8,127.8,10,12,300.0
BNV2-2.0,system_56,33,124.0,126.0,10,12,300.0
BNV2-4.0,system_56,16,124.0,126.0,10,12,300.0
BNV2-1.0,system_56,59,125.1,127.0,10,12,300.0
AMPL,system_56,0,113.00,0,10,12,300.0
BNV1-4.0,system_57,15,154.0,154.0,10,12,300.0
BNV1-2.0,system_57,26,128.0,128.0,10,12,300.0
BNV1-1.0,system_57,53,128.0,128.0,10,12,300.0
BNV1-0.5,system_57,110,127.8,127.8,10,12,300.0
BNV2-2.0,system_57,33,124.0,126.0,10,12,300.0
BNV2-4.0,system_57,16,124.0,126.0,10,12,300.0
